source_id,path,kind,authority,status,version,owner,feature_ids,tags,updated_at,expires_at,access_scope,conflict_group,resolution_state
PROJECT_AGENTS,AGENTS.md,workflow,canonical,active,v1,producer,GLOBAL,authority;workflow,2026-07-27,,project,,
PROJECT_WORKFLOW,docs/WORKFLOW.md,workflow,canonical,active,v1,producer,GLOBAL,workflow;gates,2026-07-27,,project,,
PROJECT_PROFILE,docs/project_profile.yaml,workflow,canonical,active,v1,producer,GLOBAL,profile;roles;sources,2026-07-27,,project,,
ACTIVE_SCOPE,docs/active_scope.yaml,pm,canonical,active,v1,producer,GLOBAL,scope;locks;priority,2026-07-27,,project,,
PM_HANDOFF,docs/PM_HANDOFF.md,pm,approved,active,v1,producer,GLOBAL,handoff;status,2026-07-27,,project,,
DESIGN_INDEX,docs/design_index.md,design,approved,active,2026-08-08,design_owner,GLOBAL,design;index;技能语音;战斗卡牌,2026-08-08,,project,,
CONFIG_INDEX,docs/config_index.md,config,approved,active,2026-08-08,design_owner,GLOBAL,config;index;技能语音,2026-08-08,,project,,
FEATURE_PROGRESS,PM/feature_progress.xlsx,pm,approved,active,v1,producer,GLOBAL,features;priority;progress,2026-07-27,,project,,
ALIYUN_PROFILE,production/deployment/aliyun-profile.yaml,deployment,canonical,active,v1,engineering_owner,GLOBAL,server;deployment;aliyun,2026-07-27,,project,,
RAG_TOOL,tools/game_project_rag.py,code,canonical,active,v1,engineering_owner,GLOBAL,rag;retrieval;indexing,2026-07-27,,project,,
ZC_CURRENT_DESIGN_DOCX,docs/CURRENT_GAME_DESIGN.docx,design,approved,active,2026-08-08,design_owner,GLOBAL;F-ZC-001,current-game;single-player;ai-map;camera;board;faction-border,2026-08-08,,project,,
ZC_ACCOUNT_DESIGN_DOCX,docs/PLAYER_ACCOUNT_AND_SERVER_PROFILE_DESIGN_v1.5.docx,design,approved,active,2026-08-13,design_owner,GLOBAL;F-ZC-AUTH-001,account;password;login;server-authoritative;profile;credential-view;credential-copy;clipboard;cross-installation,2026-08-13,,project,,
